Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",1-С :Підприємство 8,"04080, м.Київ,вул.Турівська ,15",2013-02-01 00:00:00,5760,обтяження відсутнє,,,,0,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",1-С :Підприємство 8 (додаткове робоче місце),"04080, м.Київ,вул.Турівська ,13",2013-10-11 00:00:00,1440,обтяження відсутнє,,,,0,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",1-С :Підприємство 8 (клієнт- банк),"04080, м.Київ,вул.Турівська ,13",2017-02-20 00:00:00,1560,обтяження відсутнє,,,,364,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",1-С :Підприємство 8 (додаткове робоче місце),"04080, м.Київ,вул.Турівська ,13",2017-03-16 00:00:00,7332,обтяження відсутнє,,,,1833,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмна продукція
Windows Professional 10 SNGL
OLP NL Legalization GetGenuine
wCOA ","04080, м.Київ,вул.Турівська ,13",2019-02-13 00:00:00,5200,обтяження відсутнє,,,,3380,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмна продукція
Windows Professional 10 SNGL
OLP NL Legalization GetGenuine
wCOA ","04080, м.Київ,вул.Турівська ,13",2019-02-13 00:00:00,5200,обтяження відсутнє,,,,3380,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмна продукція
Windows Professional 10 SNGL
OLP NL Legalization GetGenuine
wCOA ","04080, м.Київ,вул.Турівська ,13",2019-02-13 00:00:00,5200,обтяження відсутнє,,,,3380,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмна продукція
Windows Professional 10 SNGL
OLP NL Legalization GetGenuine
wCOA ","04080, м.Київ,вул.Турівська ,13",2019-02-13 00:00:00,5200,обтяження відсутнє,,,,3380,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмна продукція
Windows Professional 10 SNGL
OLP NL Legalization GetGenuine
wCOA ","04080, м.Київ,вул.Турівська ,13",2019-02-13 00:00:00,5200,обтяження відсутнє,,,,3380,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмна продукція
Office Home and Business 2016
Win AllLng PKLic Onln CEE Only
C2R NR
Windows Professional 10 SNGL
OLP NL Legalization GetGenuine
wCOA ","04080, м.Київ,вул.Турівська ,13",2019-02-13 00:00:00,6777,обтяження відсутнє,,,,4405.05,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмна продукція
Office Home and Business 2016
Win AllLng PKLic Onln CEE Only
C2R NR
Windows Professional 10 SNGL
OLP NL Legalization GetGenuine
wCOA ","04080, м.Київ,вул.Турівська ,13",2019-02-13 00:00:00,6777,обтяження відсутнє,,,,4405.05,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмна продукція
Office Home and Business 2016
Win AllLng PKLic Onln CEE Only
C2R NR
Windows Professional 10 SNGL
OLP NL Legalization GetGenuine
wCOA ","04080, м.Київ,вул.Турівська ,13",2019-02-13 00:00:00,6777,обтяження відсутнє,,,,4405.05,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмна продукція
Office Home and Business 2016
Win AllLng PKLic Onln CEE Only
C2R NR
Windows Professional 10 SNGL
OLP NL Legalization GetGenuine
wCOA ","04080, м.Київ,вул.Турівська ,13",2019-02-13 00:00:00,6777,обтяження відсутнє,,,,4405.05,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмна продукція
Office Home and Business 2016
Win AllLng PKLic Onln CEE Only
C2R NR
Windows Professional 10 SNGL
OLP NL Legalization GetGenuine
wCOA ","04080, м.Київ,вул.Турівська ,13",13.02.2019 р.,6777,обтяження відсутнє,,,,4405.05,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програмна продукція Acrobat Pro DC for teams ALL Multiple Platforms Multi European Languaged  Team Licensing Subscription New GOV,"04080, м.Київ,вул.Турівська ,13",13.02.2019 р.,5368,обтяження відсутнє,,,,3489.2,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програмна продукція Acrobat Pro DC for teams ALL Multiple Platforms Multi European Languaged  Team Licensing Subscription New GOV,"04080, м.Київ,вул.Турівська ,13",13.02.2019 р.,5368,обтяження відсутнє,,,,3489.2,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Батьківщина"" Свідоцтво серія ДП № 925",м.Дніпропетровськ,05.03.2002 р.,0,обтяження відсутнє,,,,0,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",сайт,"04080, м.Київ,вул.Турівська ,15",16.03.2018 р.,1305.7,обтяження відсутнє,,,,1066.43,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",домен beauty.net.ua,—,—,—,обтяження відсутнє,—,,288,,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",домен tymoshenko-2019.соm.ua,—,—,—,обтяження відсутнє,2021-04-30 00:00:00,,117,,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",домен byut.com.ua,—,—,—,обтяження відсутнє,2021-04-30 00:00:00,,277.5,,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",домен bа.org.ua,—,—,—,обтяження відсутнє,2021-04-30 00:00:00,,350.7,,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",SSL для домена  ,—,2019-03-25 00:00:00,—,обтяження відсутнє,2021-06-27 00:00:00,,885.15,,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція
""M. E. Doc""",—,2020-10-19 00:00:00,—,обтяження відсутнє,2021-10-19 00:00:00,,200,,"Всеукраїнське обʼєднання ""Батьківщина""",Центральний офіс,20069956,Україна,"1,2,3,4",2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Батьківщина Волині""","Волинська обл., м.Луцьк, вул.Набережна, буд.2",09.06.2017,–,обтяження відсутнє,–,–,–,,"Всеукраїнське обʼєднання ""Батьківщина""",Волинська обласна організація,25787544,Волинська область,"1,2,3,4",2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Сайт batkivshyna.volyn.ua,"Волинська обл., м.Луцьк, вул.Набережна, буд.2",–,–,обтяження відсутнє,–,–,–,,"Всеукраїнське обʼєднання ""Батьківщина""",Волинська обласна організація,25787544,Волинська область,"1,2,3,4",2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен batkivshyna.volyn.ua,"Волинська обл., м.Луцьк, вул.Набережна, буд.2",2020-05-11 00:00:00,–,обтяження відсутнє,2021-05-11 00:00:00,,516,,"Всеукраїнське обʼєднання ""Батьківщина""",Волинська обласна організація,25787544,Волинська область,"1,2,3,4",2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","газета ""Батьківщина Закарпаття"" свідоцтво ЗТ",м.Мукачево,2010-10-06 00:00:00,,обтяження відсутнє,,,,,"Всеукраїнське обʼєднання ""Батьківщина""",Закарпатська обласна організація,25446205,Закарпатська область,"1,2,3,4",2020
