Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки",Column1
Сила і честь,Центральний офіс,Україна,33308363,"м. Київ, вул. Шовковична, буд. 30 Б, оф. 17","м. Київ, вул. Шовковична, буд. 30 Б, оф. 17",UA433226690000026006300663605; UA473223130000026003000042534; UA473223130000026003000042535,-
Сила і честь,Львівська обласна організація ,Львівська область,33981638,"Львівська обл., м. Львів, вул. Тершаковців, буд. 2А, оф. 303","Львівська обл., м. Львів, вул. Тершаковців, буд. 2А, оф. 303",UA073253210000026009053789084,-
Сила і честь,Закарпатська регіональна організація,Закарпатська область,33985386,"Закарпатська обл., м. Ужгород, вул. Горіхова, буд. 6","Закарпатська обл., м. Ужгород, вул. Горіхова, буд. 6",UA443223130000026005000045915,-
Сила і честь,Чернівецька обласна організація,Чернівецька область,33337064,"Чернівецька обл., м. Чернівці, пров. Затишний, буд. 17","Чернівецька обл., м. Чернівці, пров. Затишний, буд. 17",UA553204780000026001924893963,-
Сила і честь,Чернівецька міська організація ,Чернівецька область,43824134,"Чернівецька обл., м. Чернівці, вул. Доброго Олександра, буд. 13, оф. 11","Чернівецька обл., м. Чернівці, вул. Доброго Олександра, буд. 13, оф. 11",-,-
Сила і честь,Одеська обласна організація,Одеська область,33386279,"Одеська обл., м. Одеса, вул. Коблевська, буд. 40","Одеська обл., м. Одеса, вул. Коблевська, буд. 40",UA223287040000026004054254497,-
Сила і честь,Черкаська регіональна організація,Черкаська область,33363204,"Черкаська обл., м. Черкаси, вул. Калиніна, буд. 71, кв. 92","Черкаська обл., м. Черкаси, вул. Калиніна, буд. 71, кв. 92",UA883052990000026007021605617,-
Сила і честь,Чернігівська обласна організація,Чернігівська область,34018288,"Чернігівська обл., м. Чернігів, вул. Перемоги, буд. 139","Чернігівська обл., м. Чернігів, вул. Перемоги, буд. 139",UA633535530000026003300691704,-
Сила і честь,Волинська обласна організація,Волинська область,33381532,"Волинська обл., м. Луцьк, вул. Карбишева буд. 2","Волинська обл., м. Луцьк, вул. Карбишева буд. 2",UA343204780000026001924893662,-
Сила і честь,Миколаївська регіональна організація,Миколаївська область,33896286,"Миколаївська обл., м. Миколаїв, вул. Чкалова, буд. 82А, кв. 69","Миколаївська обл., м. Миколаїв, вул. Чкалова, буд. 82А, кв. 69",UA533348510000000026009126860,-
Сила і честь,Одеська міська організація,Одеська область,33568054,"Одеська обл., м. Одеса вул. Лідерсівський бульв., буд. 5, кв. 274","Одеська обл., м. Одеса вул. Лідерсівський бульв., буд. 5, кв. 274",UA483287040000026006054243194,-
Сила і честь,Вінницька регіональна організація,Вінницька область,33966173,"Вінницька обл., м. Вінниця, вул. Лебединського, буд. 7","Вінницька обл., м. Вінниця, вул. Лебединського, буд. 7",UA393026890000026007055372143,-
Сила і честь,Львівська міська організація,Львівська область,33981601,"Львівська обл., м. Львів, вул. Сихівська, буд. 21, кв. 4","Львівська обл., м. Львів, вул. Сихівська, буд. 21, кв. 4",-,-
Сила і честь,Харківська регіональна організація,Харківська область,33291780,"Харківська обл., м. Харків, пр. Науки, буд. 40, оф. 501Б","Харківська обл., м. Харків, пр. Науки, буд. 40, оф. 501Б",№UA453518230000026002300736507,-
Сила і честь,Херсонська обласна організація,Херсонська область,33731075,"Херсонська обл., м. Херсон, Бериславське Шосе, буд. 11","Херсонська обл., м. Херсон, Бериславське Шосе, буд. 11",-,-
Сила і честь,Кіровоградська обласна організація,Кіровоградська область,33962971,"Кіровоградська обл., м. Кропивницький, вул. Гоголя, буд. 95/46","Кіровоградська обл., м. Кропивницький, вул. Гоголя, буд. 95/46",UA643282090000026003000012515,-
Сила і честь,Тернопільська регіональна організація,Тернопільська область,33992655,"Тернопільська обл., м. Тернопіль, вул. Шептицького, буд. 2, к. 2","Тернопільська обл., м. Тернопіль, вул. Старий Ринок, буд. 2, оф. 2",UA 523387830000026006055128400 ,-
Сила і честь,Світловодська міська організація,Кіровоградська область,33331869,"Кіровоградська обл., м. Світловодськ, вул. Героїв України, буд. 50, оф. 2","Кіровоградська обл., м. Світловодськ, вул. Героїв України, буд. 50, оф. 2",UA043052990000026007015105219,-
Сила і честь,Івано-Франківська обласна організація,Івано-Франківська область,34077542,"Івано – Франківська обл., м. Івано – Франківськ, вул. Січових Стрільців, буд. 29, оф. 6","Івано – Франківська обл., м. Івано – Франківськ, вул. Січових Стрільців, буд. 29, оф. 6",UA653204780000026008924893836,-
Сила і честь,Олександрійська міська організація,Кіровоградська область,33991949,"Кіровоградська обл., м. Олександрія, вул. Софіївська, буд. 24, кв. 38","Кіровоградська обл., м. Олександрія, вул. Софіївська, буд. 24, кв. 38",UA463204780000026001924893446,-
Сила і честь,Подільська міська організація,Одеська область,43816296,"Одеська обл., м. Подольськ, вул. Армійська, буд. 3","Одеська обл., м. Подольськ, вул. Армійська, буд. 3",-,-
Сила і честь,Київська обласна організація,Київська область,34001871,"Київська обл., м. Бориспіль, вул. Київський шлях, буд. 14","Київська обл., м. Бориспіль, вул. Київський шлях, буд. 14, оф. 215",UA643226690000026006300735492,-
Сила і честь,Київська міська організація,Київська область,43778002,"Київська обл., м. Київ, вул. Івана Франка, буд. 20Б","Київська обл., м. Київ, вул. Івана Франка, буд. 20Б",UA333805930000026006001030821,-
Сила і честь,Дніпропетровська обласна організація,Дніпропетровська область,43820695,"Дніпропетровська обл., м. Дніпро, вул. Гончара Олеся, буд. 28/1Б","Дніпропетровська обл., м. Дніпро, вул. Гончара Олеся, буд. 28/1Б",UA333052990000026007050538506,-
Сила і честь,Донецька обласна організація,Донецька область,33454123,"Донецька обл., м. Костянтинівка, вул. Білоусова, буд. 10","Донецька обл., м. Костянтинівка, вул. Білоусова, буд. 10",UA973351060000026000300714278,-
Сила і честь,Житомирська обласна організація,Житомирська область,43817242,"Житомирська обл., м. Житомир, вул. Кочерги Івана, буд. 5","Житомирська обл., м. Житомир, вул. Кочерги Івана, буд. 5",UA453117440000026000055842921,-
Сила і честь,Запорізька обласна організація,Запорізька область,33471484,"Запорізька обл., м. Мелітополь, вул. Гетьманська, буд. 123, кв. 131","Запорізька обл., м. Мелітополь, вул. Гетьманська, буд. 123, кв. 131",-,-
Сила і честь,Хмельницька обласна організація,Хмельницька область,43795837,"Хмельницька обл., м. Хмельницький, вул. Тернопільська, буд. 16, корп. 1, оф. 1","Хмельницька обл., м. Хмельницький, вул. Тернопільська, буд. 16, корп. 1, оф. 1",UA693314010000026009054229651 ,-
Сила і честь,Полтавська обласна організація,Полтавська область,43822514,"Полтавська обл., м. Полтава, вул. Пушкіна, буд. 73","Полтавська обл., м. Полтава, вул. Пушкіна, буд. 73","АТ КБ ""ПРИВАТБАНК"" UA693314010000026009054229651",-
Сила і честь,Рівненська обласна організація,Рівненська область,33408779,"Рівненська обл., м. Острог, вул. Вереснева, буд. 3","Рівненська обл., м. Острог, вул. Вереснева, буд. 3",UA593333680000026009300749343,-
Сила і честь,Сумська обласна організація,Сумська область,43810933,"Сумська обл., м. Суми, вул. Троїцька, буд. 1","Сумська обл., м. Суми, вул. Троїцька, буд. 1",UA113223130000026005000045636,-
