Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Газета,"Газета ""Батьківщина Сумська"" серія СМ №772/394Р",БАТЬКІВЩИНА,4,2023
Газета,"Газета ""Твоя Батьківщина"" свідоцтво серія ЧС №1001Р від 27.02.2018 р.",БАТЬКІВЩИНА,4,2023
Інші нематеріальні активи,"Друкований засіб масової інформації Газета ""14 днів""",БАТЬКІВЩИНА,4,2023
Інші нематеріальні активи,"Друкований засіб масової інформації Газета ""Хочу в прорив""",БАТЬКІВЩИНА,4,2023
Інші нематеріальні активи,"Друкований засіб масової інформації Газета ""Павлоградські обрії""",БАТЬКІВЩИНА,4,2023
Інші нематеріальні активи,"Друкований засіб масової інформації Газета ""Батьківщина""",БАТЬКІВЩИНА,4,2023
домен,Трансфер домена pro-line.dp.ua,БАТЬКІВЩИНА,4,2023
домен,домен https://batkivshchyna.dp.ua/,БАТЬКІВЩИНА,4,2023
"Друкований засіб масової інформації:газета - ""Київщина-моя Батьківщина""","Газета ""Київщина-моя Батьківщина""",БАТЬКІВЩИНА,4,2023
"газета ""СЛОБОЖАНСЬКА БАТЬКІВЩИНА""  ",друкований ЗМІ,БАТЬКІВЩИНА,4,2023
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",газета Під прапором Батькіщини,БАТЬКІВЩИНА,4,2023
Авторське право та суміжні з ним права,Послуги з реєстрації доменного імені byut.rv.ua,БАТЬКІВЩИНА,4,2023
Авторське право та суміжні з ним права,"Газета ""Голос Батьківщини""",БАТЬКІВЩИНА,4,2023
газета,Слово Батьківщини,БАТЬКІВЩИНА,4,2023
Друкований засіб масової інформації,"Газета ""Київський майдан""",БАТЬКІВЩИНА,4,2023
ГАЗЕТА,"ДРУКОВАНИЙ ЗАСОБ МАСОВОЇ ІНФОРМАЦІЇ (ГАЗЕТА) ""НАША БАТЬКІВЩИНА""",БАТЬКІВЩИНА,4,2023
Газета,"Газета ""Батьківщина Волині""",БАТЬКІВЩИНА,4,2023
Домен,домен batkіvshchyna.volyn.ua ID 20561,БАТЬКІВЩИНА,4,2023
Друкований засіб масової інформації,"Друкований засіб масової інформації ""Батьківщина""",БАТЬКІВЩИНА,4,2023
Газета,"Газета ""Батьківщина""",БАТЬКІВЩИНА,4,2023
Офіційний сайт,Сайт,БАТЬКІВЩИНА,4,2023
Програмна продукція,1-С :Підприємство 8,БАТЬКІВЩИНА,4,2023
Програмна продукція,1-С :Підприємство 8 (додаткове робоче місце),БАТЬКІВЩИНА,4,2023
Програмна продукція,1-С :Підприємство 8 (клієнт- банк),БАТЬКІВЩИНА,4,2023
Програмна продукція,1-С :Підприємство 8 (додаткове робоче місце),БАТЬКІВЩИНА,4,2023
Програмна продукція,Програмна продукція Windows Professional 10 SNGL OLP NL Legalization GetGenuine wCOA ,БАТЬКІВЩИНА,4,2023
Програмна продукція,Програмна продукція Office Home and Business 2016 Win AllLng PKLic Onln CEE Only C2R NR Windows Professional 10 SNGL OLP NL Legalization GetGenuine wCOA ,БАТЬКІВЩИНА,4,2023
Програмна продукція,Програмна продукція Acrobat Pro DC for teams ALL Multiple Platforms Multi European Languages Team Licensing Subscription New GOV,БАТЬКІВЩИНА,4,2023
Домен,домен beauty.net.ua,БАТЬКІВЩИНА,4,2023
Домен,домен byut.com.ua,БАТЬКІВЩИНА,4,2023
Домен,домен bа.org.ua,БАТЬКІВЩИНА,4,2023
сертифікат для домена,SSL для домена,БАТЬКІВЩИНА,4,2023
програмна продукція,"програмна продукція ""M.E.Doc"" ліцензія ""Звітність""",БАТЬКІВЩИНА,4,2023
програмна продукція,"програмна продукція ""M.E.Doc"" ліцензія ""Облік ПДВ""",БАТЬКІВЩИНА,4,2023
програмна продукція,BAF(8.3.19.1529) Конфігурація бухгалтерський облік для неприбуткових організацій,БАТЬКІВЩИНА,4,2023
