Партія,Місцева організація,Область,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,Вінницька область,39508645,"21000, Вінницька обл., місто Вінниця, вулиця ГАГАРІНА, будинок 4","21000 Вінницька область,м. Вінниця, вул. Соборна ,буд. 15, приміщення 16","ПАТ "" Міжнародний інвестиційний банк""м. КИЇВ код банку 380582 р/р 26003010318161"
Блок Петра Порошенка “Солідарність”,Волинська обласна організація,Волинська область,39402400,"43020, Волинська обл., місто Луцьк, вулиця РІВНЕНСЬКА, будинок 42","43020, Волинська обл., місто Луцьк, вулиця РІВНЕНСЬКА, будинок 42","Відділення № 02-03 ПАТ АКЦІОНЕРНИЙ БАНК ""ПІВДЕННИЙ"", місцезнаходження: 43020, м. Луцьк, вул. Рівненська, буд. 1а, ідентифікаційний код 20953647, МФО 328209, Рахунок № 26006010004725"
Блок Петра Порошенка “Солідарність”,Дніпропетровська обласна організація,Дніпропетровська область,39795490,"місто Дніпро, вулиця Січеславська Набережна (Набережна В.І.Леніна), будинок 39, приміщення 193","місто Дніпро, вулиця Січеславська Набережна (Набережна В.І.Леніна), будинок 39, приміщення 193","Філія- Дніпропетровське обласне управління ПАТ ""Державний ощадний банк України"", місцезнаходження: 49044, м. Дніпропетровськ, вул. Клари Цеткін, буд. 9А, ідентифікаційний код 09305480, МФО 305482, Рахунок № 26005300484468"
Блок Петра Порошенка “Солідарність”,Донецька обласна організація,Донецька область,39645186,"84313, Донецька обл., місто Краматорськ, вулиця Миру, будинок 9","84313, Донецька обл., місто Краматорськ, вулиця Миру, будинок 9","Територіально відокремлене безбалансове відділення№ 10026/01 філії - Головного управління по м. Києву та Київській області ПАТ ""Державний ощадний банк України"", місцезнаходження: 03150, м. Київ, вул. Горького, буд. 105, ідентифікаційний код 09322277, МФО 322669, Рахунок №"
Блок Петра Порошенка “Солідарність”,Житомирська обласна організація,Житомирська область,39682762,"10001, Житомирська обл., місто Житомир, вулиця Івана Сльоти, будинок 32/98","10001, Житомирська обл., місто Житомир, вулиця Івана Сльоти, будинок 32/98","Територіально відокремлене безбалансове відділення філії - Житомирське обласне управління ПАТ ""Державний ощадний банк України"", місцезнаходження: 10008, м. Житомир, вул. І. Франка, буд. 3, ідентифікаційний код 09311380, МФО 311647, Рахунок № 26000300890814"
Блок Петра Порошенка “Солідарність”,Закарпатська обласна організація,Закарпатська область,39950317,"88000, Закарпатська обл., місто Ужгород, вулиця ПЕРЕМОГИ, будинок 1","88000, Закарпатська обл., місто Ужгород, вулиця ПЕРЕМОГИ, будинок 1","ПАТ ""Комерційний інвестиційний банк"", місцезнаходження:8800 0, м. Ужгород, вул. Ю. Гойди, буд. 10, ідентифікаційний код 19355562, МФО 312248 Рахунок №26006015000808"
Блок Петра Порошенка “Солідарність”,Запорізька обласна організація,Запорізька область,39434317,"69006, Запорізька обл., місто Запоріжжя, ПРОСПЕКТ ЛЕНІНА, будинок 193, офіс 62","69095, Запорізька обл., місто Запоріжжя, проспект Соборний, будинок 99, 45/46","Відділення №2 філії ПАТ ""Державний експортно -імпортний банк України"" в м. Запоріжжі, місцезнаходження: 69035, м. Запоріжжя, вул. 40 років Рад. України, буд. 51, ідентифікаційний код: 24905013, МФО 313979, Рахунок № 2600501759900"
Блок Петра Порошенка “Солідарність”,Івано-Франківська обласна організація,Івано-Франківська область,39655372,"76018, Івано-Франківська обл., місто Івано-Франківськ, вулиця АКАДЕМІКА САХАРОВА, будинок 23","76018, Івано-Франківська обл., місто Івано-Франківськ, вулиця АКАДЕМІКА САХАРОВА, будинок 32","Відділення №493 ПАТ ""Укрсиббанк"", місцезнаходження: 76018, м. Івано-Франківськ, вул. Січових Стрільців, буд. 23, ідентифікаційний код 09807750, МФО 351005, Рахунок № 26007557484900"
Блок Петра Порошенка “Солідарність”,Київська обласна організація,Київська область,39495516,"04053, м.Київ, провулок БЕХТЕРЕВСЬКИЙ, будинок 4, ЛІТ.А","04053, м.Київ, провулок БЕХТЕРЕВСЬКИЙ, будинок 4, ЛІТ.А","Територіально відокремлене безбалансове відділення №10026/0159 філії -Головного управління по м. Києву та Київській області ПАТ ""Державний ощадний банк України"", місцезнаходження: 04053, м. Київ, вул. Артема, буд. 32-38, ідентифікаційний код 09322277, МФО 322669, Рахунок № 26004300956820"
Блок Петра Порошенка “Солідарність”,Кіровоградська обласна організація,Кіровоградська область,39697790,"25006, Кіровоградська обл., місто Кіровоград, вулиця ВЕЛИКА ПЕРСПЕКТИВНА, будинок 3/5, квартира 24","25006, Кіровоградська обл., місто Кіровоград, вулиця ВЕЛИКА ПЕРСПЕКТИВНА, будинок 3/5, квартира 24","ПАТ КБ «Приватбанк», м. Кіровоград, Код банку 323583 Поточний рахунок № 26002052912613, депозитний строковий №26103000275999, депозитний поточний №26005000968111, депозитний строковий №26107000247257, депозитний поточний №26005000691455"
