Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Права на використ шрифтів,"Права на використ шрифтів Mont Regular, Mont Bold, Mont Black",ЗА МАЙБУТНЄ,1,2021
Сайт,Веб-сайт www.zamajbutne.com.ua,ЗА МАЙБУТНЄ,1,2021
Газета,"Газета ""ЗА МАЙБУТНЄ""",ЗА МАЙБУТНЄ,1,2021
Авторське право та суміжні з ним права,"Комп'ютерна програма ""М.Е.Doc Звітність""",ЗА МАЙБУТНЄ,4,2021
Сайт,Веб-сайт www.zamajbutne.com.ua,ЗА МАЙБУТНЄ,4,2021
Газета,"Газета ""ЗА МАЙБУТНЄ""",ЗА МАЙБУТНЄ,4,2021
Права на використання шрифтів,"Права на використання шрифтів Mont Regular, Mont Bold, Mont Black",ЗА МАЙБУТНЄ,3,2021
Сайт,Веб-сайт www.zamajbutne.com.ua,ЗА МАЙБУТНЄ,3,2021
Газета,"Газета ""ЗА МАЙБУТНЄ""",ЗА МАЙБУТНЄ,3,2021
Права на використання шрифтів,"Права на використання шрифтів Mont Regular, Mont Bold, Mont Black",ЗА МАЙБУТНЄ,2,2021
Сайт,Веб-сайт www.zamajbutne.com.ua,ЗА МАЙБУТНЄ,2,2021
Газета,"Газета ""ЗА МАЙБУТНЄ""",ЗА МАЙБУТНЄ,2,2021
