Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Програма 1С BAS Бухгалтерія. Базова,Програма 1С BAS Бухгалтерія. Базова,РІДНИЙ ДІМ,2,2024
Апгрейд ПП BAS бухгалтерія базова PROF,Апгрейд ПП BAS бухгалтерія базова PROF,РІДНИЙ ДІМ,2,2024
"Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність ""","Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність """,РІДНИЙ ДІМ,2,2024
"Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність "" 23","Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність "" 23",РІДНИЙ ДІМ,2,2024
"Пакет ""Базовий"".Строк 1 рік. 23","Пакет ""Базовий"".Строк 1 рік. 23",РІДНИЙ ДІМ,2,2024
"Пакет ""Базовий"".Строк 1 рік. 24","Пакет ""Базовий"".Строк 1 рік. 24",РІДНИЙ ДІМ,2,2024
Програма 1С BAS Бухгалтерія. Базова,Програма 1С BAS Бухгалтерія. Базова,РІДНИЙ ДІМ,3,2024
Апгрейд ПП BAS бухгалтерія базова PROF,Апгрейд ПП BAS бухгалтерія базова PROF,РІДНИЙ ДІМ,3,2024
"Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність ""","Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність """,РІДНИЙ ДІМ,3,2024
"Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність "" 23","Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність "" 23",РІДНИЙ ДІМ,3,2024
Пакет базовий. Строк дії 2 роки,"Пакет ""Базовий"".Строк 1 рік. 23",РІДНИЙ ДІМ,3,2024
"Пакет ""Базовий"".Строк 1 рік. 24","Пакет ""Базовий"".Строк 1 рік. 24",РІДНИЙ ДІМ,3,2024
