Самопоміч,3.2.1,3.2.2,3.2.3,3.2.4,Всього,На медіа,,БПП,3.2.1,3.2.2,3.2.3,3.2.4,Всього,На медіа
2016,"2885759,04","416454,14","386124,98","1032696,29","42608770,01","4721034,45",,2016,215040,2400,"43926,3",700,"64848006,06","261366,3"
2017,"1456522,7","596021,1","184163,09","332086,23","36052853,6","2568793,12",,2017,2000,0,"551293,25",3990,"74357311,3700001","557283,25"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
РПЛ,3.2.1,3.2.2,3.2.3,3.2.4,Всього,На медіа,,Опоблок,3.2.1,3.2.2,3.2.3,3.2.4,Всього,На медіа
2016,6842256,0,0,0,"16916850,71",6842256,,2016,13320,0,"55753,06",0,"791570,04","69073,06"
2017,"6350566,64",17208,"101766,84",13000,"18509932,4099999","6482541,48",,2017,"21159,9",0,63560,17510,"2384275,99","102229,9"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
НФ,3.2.1,3.2.2,3.2.3,3.2.4,Всього,На медіа,,Батьківщина,3.2.1,3.2.2,3.2.3,3.2.4,Всього,На медіа
2016,"25549007,2","1315711,48","6373496,54",0,"46349277,0300001","33238215,22",,2016,"24576,4",1200,"76939,23",0,"7659708,5","102715,63"
2017,0,0,0,0,"36594492,95",0,,2017,"95804,88","96069,5","237846,94",6122,"12458837,34","435843,32"
