Поточне значення,"На що замінити якщо з помилкою, якщо заміна не допоможе ->"
Аанатолій,Анатолій
Аандрій,Андрій
Аантолій,Анатолій
Аатолій,Анатолій
Абди,Абді
Ав,А
Аветик,Аветік
Авєтік,Аветік
Авксендій,Авксентій
Агнесса,Агнеса
Аднрій,Андрій
Адрій,Андрій
Аиастасія,Анастасія
Ала,Алла
Алевтіна,Алевтина
Аліні,Аліна
Аллла,Алла
Алчип,Алчіп
Альбнрт,Альберт
Альвгна,Альвіна
Альозій,Алойзій
Анантолій,Анатолій
Анаталій,Анатолій
Анатоій,Анатолій
Анатоілй,Анатолій
Анатолії,Анатолій
Анатолія,Анатолій
Анатолй,Анатолій
Анатоллій,Анатолій
Анатоль,Анатолій
Андраник,Андранік
Андргй,Андрій
Андрий,Андрій
Андріанна,Андріана
Андріїї,Андрій
Андрїй,Андрій
Андрш,Андрій
Анелля,Анеля
АННА,Анна
Анне,Анна
Анніта,Аніта
Анотоніна,Антоніна
Анрій,Андрій
Антол,Антон
Антолій,Анатолій
Антоніну,Антоніна
Араїк,Араік
Аракся,Араксія
Арзен,Арсен
Арпад-роберт,Арпад-Роберт
Арсєн,Арсен
Артема,Артем
Артемій-Юліян,Артемій-Юліан
АРТУР,Артур
Артьом,Артем
Атилло,Атилла
Атталія,Аталія
Аудріана,Адріана
Багаудін,Багаутдін
Багдан,Богдан
Бела,Белла
Богдам,Богдан
Богданна,Богдана
Боглан,Богдан
Боедан,Богдан
Боліслав,Болеслав
Бори,Борис
Боріс,Борис
Бронислав,Броніслав
В.,В
Вагид,Вагід
Вадентим,Валентин
Вадім,Вадим
Важи,Важа
Валантина,Валентина
Валенина,Валентина
Валенти,Валентин
Валентини,Валентина
Валентинна,Валентина
Валентину,Валентина
Валентін,Валентин
Валентіна,Валентина
Валентнина,Валентина
Валеріян,Валеріан
Валетина,Валентина
Валик,Валентин
Валинтин,Валентин
Валнрій,Валерій
Валнтина,Валентина
Валодимир,Володимир
Варерій,Валерій
Васил,Василь
Василь-Володими,Василь-Володимир
Васілій,Василій
Вахтангі,Вахтанг
Вгга,Віта
Вггалш,Віталій
Вдалислав,Владислав
Велерій,Валерій
Вера,Віра
Веронік,Вероніка
Веронніка,Вероніка
Веталій,Віталій
Вианор,Віанор
Викторія,Вікторія
Виолетта,Віолетта
Виорика,Віоріка
Висиль,Василь
Виталій,Віталій
Вікгор,Віктор
Вікитор,Віктор
Вікор,Віктор
Віктов,Віктор
Віктоор,Віктор
Віктора,Віктор
Вікторв,Віктор
Вікторів,Вікторія
Вікторії,Вікторія
Віктр,Віктор
Віолета,Віолетта
Вір,Віра
Вірджінія,Вірджинія
Віроніка,Вероніка
Вісаріон,Віссаріон
Віталий,Віталій
Віталії,Віталій
Вітор,Віктор
Вітялій,Віталій
Вктор,Віктор
Владеслав,Владислав
Владистав,Владислав
Владіслав,Владислав
Влодимир,Володимир
Волдимир,Володимир
Володвмвр,Володимир
Володиимир,Володимир
Володимер,Володимир
Володими,Володимир
Володимид,Володимир
Володимиир,Володимир
Володимио,Володимир
Володимири,Володимир
Володимір,Володимир
Володимр,Володимир
Володимbр,Володимир
Володир,Володимир
Володімір,Володимир
Володмир,Володимир
Володомир,Володимир
Вололимир,Володимир
Вололодимир,Володимир
Воломир,Володимир
Волордимир,Володимир
Воодимир,Володимир
Впасиль,Василь
Вядим,Вадим
Вячесла,Вʼячеслав
Вячеслав,Вʼячеслав
Вячеслава,Вʼячеслава
Вячислав,Вʼячеслав
Вʼячаслав,Вʼячеслав
Вʼячесдав,Вʼячеслав
Вʼячеслва,Вʼячеслава
Вʼячесляв,Вʼячеслав
Вʼячислав,Вʼячеслав
Вʼячіслав,Вʼячеслав
Г.,Г
Габрела,Габріела
Гавріїл,Гавриїл
Гаджибута,Гаджибутта
Галини,Галина
Галино,Галина
Галину,Галина
Галіна,Галина
Гання,Ганна
Гарі,Гаррі
Гвітлана,Світлана
Геворк,Геворг
Гена,Геннадій
Генадії,Геннадій
Генадій,Геннадій
Геннадіи,Геннадій
Геннадй,Геннадій
Геннадйі,Геннадій
Геогрій,Георгій
Георій,Георгій
Гіоргій,Георгій
Гкоргій,Георгій
Гл,Г
Глеб,Гліб
Гнадій,Геннадій
Голина,Галина
Гретта,Грета
Григоргій,Григорій
Григорй,Григорій
Грироій,Григорій
Грігорій,Григорій
Гюльзара,Гульзара
Давід,Давид
Дан,Дана
Даниіл,Даниїл
Даніелла,Даніела
Данііл,Даниїл
Даніїл,Даниїл
Даніл,Данил
Даноли,Данило
Дарій-любомир,Дарій-Любомир
Даріна,Дарина
Даря,Дарʼя
Деліодор,Геліодор
Демян,Демʼян
Деніс,Денис
Деомид,Деомід
Джавід,Джавад
Джіна,Джина
Димітрій,Димитрій
Дімітрій,Димитрій
Дініс,Денис
Діяна,Діана
Дмитпо,Дмитро
Дмитр,Дмитро
Дмитра,Дмитро
Дмитрій,Дмитро
Дмиьро,Дмитро
Дмітрій,Дмитро
Дмітро,Дмитро
Домніка,Домініка
Еалина,Калина
Ева,Єва
Евген,Євген
Евгеній,Євгеній
