Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Нежитлова будівля,"м. Рівне, вул. Степана Бандери, буд. 22",42.5,,01.03.2021,,оренда,,,Фізична особа,ГОЛОС,2022-12-31,4,2022
Приміщення,"м. Миколаїв, вул. Спаська, буд. 10",10.0,,09.02.2022,,суборенда,,,Юридична особа,ГОЛОС,2022-12-31,4,2022
Приміщення,"м. Хмельницький, вул. Зарічанська, буд. 3/2А",10.0,,08.02.2022,,суборенда,,,Юридична особа,ГОЛОС,2022-12-31,4,2022
Приміщення,"м. Тернопіль, вул. Микулинецька, буд. 46, оф. 27",10.0,,01.02.2022,0,суборенда,,,Юридична особа,ГОЛОС,2022-12-31,4,2022
Приміщення ,"м. Херсон, пр. Ушакова, буд. 50",10.0,,01.02.2022,,суборенда,,,Юридична особа,ГОЛОС,2022-12-31,4,2022
Нежиле приміщення,"м. Вінниця, вул. Київська, буд. 14, приміщення 3",10.0,,01.02.2022,,суборенда,,,Юридична особа,ГОЛОС,2022-12-31,4,2022
Нежитлова будівля,"м. Івано-Франківськ, вул. Галицька, буд. 8, оф. 211",10.0,,01.02.2022,0,суборенда,,,Юридична особа,ГОЛОС,2022-12-31,4,2022
Офіс,"Черкаська обл., м. Черкаси, вул. В. Чорновола, буд. 9/1 приміщення 51",15.2,,01.01.2022,0,суборенда,,,Фізична особа,ГОЛОС,2022-12-31,4,2022
Нежитлова будівля,"м. Київ, вул. Пасхаліна Юрія, буд. 12",5.0,,11.10.2021,,виключне строкове та безоплатне користування нежитловим приміщенням,,,Юридична особа,ГОЛОС,2022-12-31,4,2022
Нежитлове приміщення,"м. Київ, вул. м.. Грушевського, буд. 9Б",5.0,,28.04.2022,438823.5,оренда,,,Юридична особа,ГОЛОС,2022-12-31,4,2022
