Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Інші нематеріальні активи,"Сайт: spravedlyvist.rv (розробка, верстка, програмування)",СПРАВЕДЛИВІСТЬ,2,2024
Інші нематеріальні активи,Програмне забезпечення 1С:Бухгалтерія 8 для України,СПРАВЕДЛИВІСТЬ,2,2024
Інші нематеріальні активи,"Газета ""СПРАВИ СПРАВЕДЛИВОСТІ"" Свідоцтво серії КВ № 22713-12613Р",СПРАВЕДЛИВІСТЬ,2,2024
Інші нематеріальні активи,Веб-сайт: www.spravedlyvist.com.ua,СПРАВЕДЛИВІСТЬ,2,2024
Інші нематеріальні активи,Музичний твір (пісня),СПРАВЕДЛИВІСТЬ,2,2024
Інші нематеріальні активи,Музичний твір (пісня),СПРАВЕДЛИВІСТЬ,2,2024
Інші нематеріальні активи,"Програмний комплекс ""ВАРТА""",СПРАВЕДЛИВІСТЬ,2,2024
Інші нематеріальні активи,"Сайт: spravedlyvist.rv (розробка, верстка, програмування)",СПРАВЕДЛИВІСТЬ,3,2024
Інші нематеріальні активи,Програмне забезпечення 1С:Бухгалтерія 8 для України,СПРАВЕДЛИВІСТЬ,3,2024
Інші нематеріальні активи,"Газета ""СПРАВИ СПРАВЕДЛИВОСТІ"" Свідоцтво серії КВ № 22713-12613Р",СПРАВЕДЛИВІСТЬ,3,2024
Інші нематеріальні активи,Веб-сайт: www.spravedlyvist.com.ua,СПРАВЕДЛИВІСТЬ,3,2024
Інші нематеріальні активи,Музичний твір (пісня),СПРАВЕДЛИВІСТЬ,3,2024
Інші нематеріальні активи,Музичний твір (пісня),СПРАВЕДЛИВІСТЬ,3,2024
Інші нематеріальні активи,"Програмний комплекс ""ВАРТА""",СПРАВЕДЛИВІСТЬ,3,2024
