Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність/відсутність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програмне забезпечення 1С:Бухгалтерія 8 для України,"м. Київ, вул. Саксаганського, буд. 143-а",2016-09-30,9360,обтяження відсутнє,,,,8112,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,2,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","КП ""M.E. Doc""","м. Київ, вул. Саксаганського, буд. 143-а",2016-09-30,1590,обтяження відсутнє,,,,530,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,2,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмний комплекс ""Freedom""","м. Київ, вул. Саксаганського, буд. 143-а",2016-09-30,180,обтяження відсутнє,,,,"112,5","Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Справи Справедливості"" Свідоцтво серії КВ № 22713-12613Р","м. Київ, вул. Саксаганського, буд. 143-а",2017-05-30,850,обтяження відсутнє,,,,,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,2,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програмне забезпечення 1С:Бухгалтерія 8 для України,"м. Київ, вул. Саксаганського, буд. 143-а",2016-09-30,9360,обтяження відсутнє,,,,7644,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,3,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","КП ""M. Е. Doc""","м. Київ, вул. Саксаганського, буд. 143-а",2016-09-30,1590,обтяження відсутнє,,,,"132,5","Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,3,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмний комплекс ""FREEDOM""","м. Київ, вул. Саксаганського, буд. 143-а",2016-09-30,180,обтяження відсутнє,,,,90,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""СПРАВИ СПРАВЕДЛИВОСТІ"" Свідоцтво серії КВ № 22713-12613Р","м. Київ, вул. Саксаганського, буд. 143-а",2017-05-30,850,обтяження відсутнє,,,,,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,3,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програмне забезпечення 1С:Бухгалтерія 8 для України,"м. Київ, вул. Саксаганського, буд. 143-а",2016-09-30,9360,обтяження відсутнє,,,,7176,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,4,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмний комплекс ""FREEDOM""","м. Київ, вул. Саксаганського, буд. 143-а",2016-09-30,180,обтяження відсутнє,,,,"67,5","Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,4,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмний комплекс ""FREEDOM""","м. Київ, вул. Саксаганського, буд. 143-а",2017-12-07,349,обтяження відсутнє,,,,349,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,4,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",http://www.spravedlyvist.com.ua/,"м. Київ, вул. Саксаганського, буд. 143-а",2017-12-27,3500,обтяження відсутнє,,,,3500,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Справи Справедливості"" Свідоцтво серії КВ № 22713-12613Р","м. Київ, вул. Саксаганського, буд. 143-а",2017-05-30,850,обтяження відсутнє,,,,,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,4,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",http://spravedlyvist.rv.ua/,"м. Рівне, вул. Симона Петлюри, буд. 1",2017-11-21,1200,обтяження відсутнє,,,,1200,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,Рівненська область,4,2017
