Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Дата набуття речового права,Сума витрат на отримання речового права (грн),Дата припинення,Дата відчуження,Вартість відчуження,Наявність/відсутність обтяжень,Сума доходу за звітний період (оренда тощо),Балансова вартість на кінець звітного періоду (грн),Вид речового права,Тип власника,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
Нежитлові офісні приміщення,"Рівненська область, Рівне, вулиця Симона Петлюри, 1","74,3",929350356101,2015-11-24,,2018-10-23,Управління комунальною власністю виконавчого комітету Рівненської міської ради,,"Рівненська область, Рівне, вулиця Соборна, 12а",,,обтяження відсутнє,"19370,63",442770,право користування,юридична особа,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,Рівненська область,2017-06-30,2,2017
Нежитлові офісні приміщення,"Київ, вулиця Саксаганського, 143","22,2",,2017-01-01,,2017-12-31,"ТОВ ""ВВ Інвест""",,"м. Київ, вул. Старовокзальна, буд. 7В",,,обтяження відсутнє,,"40560,07",право користування,юридична особа,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,2017-06-30,2,2017
Нежитлові офісні приміщення,"Київ, вулиця Саксаганського, 143","22,2",,2017-01-01,,2017-12-31,"ТОВ ""ВВ Інвест""",,"м. Київ, вул. Старовокзальна, буд. 7В",,,обтяження відсутнє,,"40560,07",право користування,юридична особа,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,2017-09-30,3,2017
Нежитлові офісні приміщення,"Рівненська область, Рівне, вулиця Симона Петлюри, 1","74,3",929350356101,2015-11-24,,2018-10-23,Управління комунальною власністю виконавчого комітету Рівненської міської ради,,"Рівненська область, Рівне, вулиця Соборна, 12а",,,обтяження відсутнє,"19370,63",442770,право користування,юридична особа,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,Рівненська область,2017-09-30,3,2017
Нежитлові офісні приміщення,"Київ, вулиця Саксаганського, 143","722,8",,2017-10-01,,2018-12-31,"ТОВ ""ВВ Інвест""",,"м. Київ, вул. Старовокзальна, буд. 7В",,,обтяження відсутнє,,"1321099,75",право користування,юридична особа,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,2017-12-31,4,2017
Нежитлові офісні приміщення,"Львівська область, Львів, вулиця Чайковського, 6",25,,2017-10-01,,2018-09-30,Обʼєднання профспілок Львівщини,,"Львівська область, Львів, вулиця Шевченка, 7",,,обтяження відсутнє,,25000,право користування,юридична особа,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,2017-12-31,4,2017
Нежитлові офісні приміщення,"Черкаська область, Черкаси, вулиця Хрещатик, 193","83,3",,2017-10-01,,2019-05-30,"ТОВ ""Юридична компанія ""Право, бізнес і фінанси""",,"Черкаська область, Черкаси, вулиця Хрещатик, 193",,,обтяження відсутнє,,"293810,1",право користування,юридична особа,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,2017-12-31,4,2017
Нежитлові офісні приміщення,"Чернігівська область, Чернігів","20,8",,2017-10-01,,2018-12-31,"ТОВ ""Науково-виробнича комерційна фірма ""Кронтекс ЛТД""",,"Чернігівська область, Чернігів",,,обтяження відсутнє,,"19801,6",право користування,юридична особа,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,2017-12-31,4,2017
Нежитлові офісні приміщення,"Полтавська область, Полтава, вулиця Пушкіна, 115","21,4",,2017-09-22,,2018-09-21,Управління майном обласної ради,,"Полтавська область, Полтава, вулиця Пушкіна, 115",,,обтяження відсутнє,,203300,право користування,юридична особа,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,2017-12-31,4,2017
Нежитлові офісні приміщення,"Рівненська область, Рівне, вулиця Симона Петлюри, 1","74,3",929350356101,2015-11-24,,2018-10-23,Управління комунальною власністю виконавчого комітету Рівненської міської ради,,"Рівненська область, Рівне, вулиця Соборна, 12а",,,обтяження відсутнє,"19370,63",442770,право користування,юридична особа,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,Рівненська область,2017-12-31,4,2017
