Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,Column
"ПУАТ ""Фідобанк""",поточний рахунок,26002000643903,"131,23","Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-03-31,1,2017,
"АБ ""Укргазбанк""",поточний рахунок,26046903289478,"9085,86","Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-03-31,1,2017,
"АБ ""Укргазбанк""",поточний рахунок,26007212001988,658,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-03-31,1,2017,
"ПАТ ""Мегабанк""",поточний рахунок,2600426373,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-03-31,1,2017,
"ПАТ ""Мегабанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,2604826373,"3027508,98","Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-03-31,1,2017,
"ПУАТ ""Фідобанк""",поточний рахунок,26002000643903,"131,23","Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
"АБ ""Укргазбанк""",поточний рахунок,26046903289478,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
"АБ ""Укргазбанк""",поточний рахунок,26007212001988,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
"ПАТ ""Мегабанк""",поточний рахунок,2600426373,"22167,78","Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
"ПАТ ""Мегабанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,2604826373,"6265859,4","Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009053160853,0,"Всеукраїнське об'єднання ""Батьківщина""",Рокитнянська районна організація,26078651,Київська область,2017-03-31,1,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005053153239,0,"Всеукраїнське об'єднання ""Батьківщина""",Сквирська районна організація,25950665,Київська область,2017-03-31,1,2017,
