Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
ГРОМАДЯНСЬКА ПОЗИЦІЯ,ВОЛИНСЬКА ОБЛАСНА організація,Волинська обл.,37204512,"Волинська обл.,  Луцький р-н, вул. Кривий Вал, 27","Волинська обл.,  Луцький р-н, вул. Кривий Вал, 27",
ГРОМАДЯНСЬКА ПОЗИЦІЯ,ДОНЕЦЬКА ОБЛАСНА організація,Донецька обл.,37295259,"Донецька обл.,  Краматорський р-н, вул. Лікарська, 17","Донецька обл.,  Краматорський р-н, вул. Лікарська, 17",
ГРОМАДЯНСЬКА ПОЗИЦІЯ,ЗАКАРПАТСЬКА ОБЛАСНА організація,Закарпатська обл.,37296975,"Закарпатська обл.,  Ужгородський р-н, вул. Минайська, 45","Закарпатська обл.,  Ужгородський р-н, вул. Минайська, 45",
ГРОМАДЯНСЬКА ПОЗИЦІЯ,РІВНЕНСЬКА ОБЛАСНА організація,Рівненська обл.,37302082,"Рівненська обл.,  Рівненський р-н, вул. Тиха, 12","Рівненська обл.,  Рівненський р-н, вул. Тиха, 12",
ГРОМАДЯНСЬКА ПОЗИЦІЯ,ОДЕСЬКА ОБЛАСНА організація,Одеська обл.,36920981,"Одеська обл., м. Одеса,  Фонтанська дорога, 51","Одеська обл., м. Одеса,  Фонтанська дорога, 51",
ГРОМАДЯНСЬКА ПОЗИЦІЯ,СТАРОСАМБІРСЬКА РАЙОННА організація У ЛЬВІВСЬКІЙ ОБЛАСТІ,Львівська обл.,36765374,"Львівська обл.,  Самбірський р-н, вул. Центральна, 404/3","Львівська обл.,  Самбірський р-н, вул. Центральна, 404/3",
ГРОМАДЯНСЬКА ПОЗИЦІЯ,ДНІПРОПЕТРОВСЬКА ОБЛАСНА організація,Дніпропетровська обл.,37006888,"Дніпропетровська обл.,  Павлоградський р-н, вул. Шахтарська, 9","Дніпропетровська обл.,  Павлоградський р-н, вул. Шахтарська, 9",
ГРОМАДЯНСЬКА ПОЗИЦІЯ,ЛЬВІВСЬКА МІСЬКА організація,Львівська обл.,37277947,"Львівська обл., м. Львів, вул. Толстого Л., 27","Львівська обл., м. Львів, вул. Толстого Л., 27",
ГРОМАДЯНСЬКА ПОЗИЦІЯ,МИКОЛАЇВСЬКА ОБЛАСНА організація,Миколаївська обл.,40894701,"Миколаївська обл., м. Миколаїв, вул. Троїцька, 240А/5","Миколаївська обл., м. Миколаїв, вул. Троїцька, 240А/5",
ГРОМАДЯНСЬКА ПОЗИЦІЯ,ПОЛТАВСЬКА ОБЛАСНА організація,Полтавська обл.,40896452,"Полтавська обл., м. Кременчук, вул. Пугачова Вадима, 18","Полтавська обл., м. Кременчук, вул. Пугачова Вадима, 18",
