Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об’єкт,Дата,Квартал,Рік,Коментар
"АТ ""Місто банк""",поточний рахунок,26008001030506,"50390,95",Опозиційний блок,Центральний офіс,37120464,Україна,2017-03-31,1,2017,
ПАТ “ПУМБ”,поточний рахунок,260058463,"7782,59",Опозиційний блок,Центральний офіс,37120464,Україна,2017-03-31,1,2017,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26007011076294,6132,Опозиційний блок,Центральний офіс,37120464,Україна,2017-03-31,1,2017,
"АТ ""Місто банк""",поточний рахунок,26008001030506,"3759,55",Опозиційний блок,Центральний офіс,37120464,Україна,2017-06-30,2,2017,
ПАТ “ПУМБ”,поточний рахунок,260058463,"7782,59",Опозиційний блок,Центральний офіс,37120464,Україна,2017-06-30,2,2017,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26007011076294,6132,Опозиційний блок,Центральний офіс,37120464,Україна,2017-06-30,2,2017,
"АТ ""Місто банк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26007002030506,10732086,Опозиційний блок,Центральний офіс,37120464,Україна,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26001300828840,0,Опозиційний блок,Бахмутська міська організація,39904680,Донецька область,2017-06-30,2,2017,"закрит, у зв`язку зі зміною назви організації"
"АТ ""Ощадбанк""",поточний рахунок,26001300992077,0,Опозиційний блок,Бахмутська міська організація,39904680,Донецька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26008300990180,"4816,16",Опозиційний блок,Бахмутська районна організація,39907559,Донецька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26009300831787,"1391,74",Опозиційний блок,Великоновосілківська районна організація,39947435,Миколаївська область,2017-06-30,2,2017,
ПАТ “ПУМБ”,поточний рахунок,2600815360,"47,6",Опозиційний блок,Вінницька обласна організація,37618150,Вінницька область,2017-06-30,2,2017,
ПАТ “ПУМБ”,поточний рахунок,2600614183,0,Опозиційний блок,Володарська районна організація,39913123,Донецька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26000300833751,"7576,48",Опозиційний блок,Волноваська районна організація,39945202,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26004051823384,0,Опозиційний блок,Вугледарська міська організація,39959058,Донецька область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26001300840022,"3772,24",Опозиційний блок,Добропільська міська організація,39906749,Донецька область,2017-06-30,2,2017,
ПАТ “ПУМБ”,поточний рахунок,2600813320,"6367,22",Опозиційний блок,Дніпропетровська обласна організація,39750015,Дніпропетровська область,2017-06-30,2,2017,
"АТ ""Ощадбанк""",поточний рахунок,26009300842743,"685,83",Опозиційний блок,Добропільська районна організація,39921658,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26007053610066,0,Опозиційний блок,Донецька обласна організація,39751914,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26006053607917,"100,17",Опозиційний блок,Дружківська міська організація,39901343,Донецька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26008055807991,"1692,85",Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,2017-06-30,2,2017,
ПАТ “Комінвестбанк”,поточний рахунок,26003016000800,"188,97",Опозиційний блок,Закарпатська обласна організація,38222036,Закарпатська область,2017-06-30,2,2017,
ПАТ “ПУМБ”,поточний рахунок,2600612837,"345631,43",Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2017-06-30,2,2017,
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26423055700913,0,Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2017-06-30,2,2017,накопичувальний
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26428055700413,0,Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2017-06-30,2,2017,поточний
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26423055700678,0,Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2017-06-30,2,2017,накопичувальний
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26428055700275,0,Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2017-06-30,2,2017,поточний
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26422055700776,0,Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2017-06-30,2,2017,накопичувальний
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26429055700661,0,Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2017-06-30,2,2017,поточний
