Партія,Місцева організація,Область,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Опозиційний блок,Вінницька обласна організація,Вінницька область,37618150,"21000, Вінницька обл., місто Вінниця, вулиця ПЕРШОТРАВНЕВА, будинок 43",,"ПАТ ПУМБ, МФО 334851, рахунок № 2600815360"
Опозиційний блок,Волинська обласна організація,Волинська область,39707509,"43005, Волинська обл., місто Луцьк, майдан ПРИВОКЗАЛЬНИЙ, будинок 1, кімната 3",,
Опозиційний блок,Дніпропетровська обласна організація,Дніпропетровська область,39750015," 49005, Дніпропетровська обл., місто Дніпро, проспект КАРЛА МАРКСА, будинок 5"," 49005, Дніпропетровська обл., місто Дніпро, проспект КАРЛА МАРКСА, будинок 5","Відділення ПУМБ м. Дніпропетровськ, МФО 334851, рахунок № 2600813320"
Опозиційний блок,Донецька обласна організація,Донецька область,39751914,"84395, Донецька обл., місто Краматорськ, вулиця КУЗНЕЦОВА, будинок 11",,"ПАТ  КБ ""ПриватБанк"", МФО 335548, рахунок № 26007053610066"
Опозиційний блок,Житомирська обласна організація,Житомирська область,39929086,"10014, Житомирська обл., місто Житомир,  ПЛОЩА ПЕРЕМОГИ, будинок 10, кімната 1-47",,"Житомирське РУ ПАТ КБ ""Приватбанк"", МФО 311744, рахунок № 26008055807991"
Опозиційний блок,Закарпатська обласна організація,Закарпатська область,38222036,"89425, Закарпатська обл., Ужгородський район, село Барвінок, вулиця ЕДМУНДА ЕГАНА, будинок 50А",,"ПАТ Комінвестбан,  МФО 312248, рахунок № 26003016000800"
Опозиційний блок,Запорізька обласна організація,Запорізька область,37526809,"69001, Запорізька обл., місто Запоріжжя, бульвар ШЕВЧЕНКА, будинок 23","69001, Запорізька обл., місто Запоріжжя, бульвар ШЕВЧЕНКА, будинок 23","ПАТ ""ПУМБ"", МФО 334851, рахунок № 2600612837"
Опозиційний блок,Івано-Франківська обласна організація,Івано-Франківська область,39711819,"76019, Івано-Франківська обл., місто Івано-Франківськ, вулиця МАКОГОНА, будинок 31А, офіс 7",,"ПАТ ""ПУМБ"", МФО 334851, рахунок № 26006115305"
Опозиційний блок,Київська обласна організація,Київська область,39756467,"07301, Київська обл., Вишгородський район, місто Вишгород, проспект Шевченка, будинок 6",,"Київська філія АТ ""Місто банк"", МФО 380593, рахунок № 26006001030575"
Опозиційний блок,Кіровоградська обласна організація,Кіровоградська область,39662568,"25006, Кіровоградська обл., місто Кіровоград, вулиця ЕЛЬВОРТІ, будинок 7, офіс 511",,"АБ ""Південний, МФО 328209, рахунок № 26000010007869"
Опозиційний блок,Луганська обласна організація,Луганська область,39697428,"93113, Луганська обл., місто Лисичанськ, вулиця СВЕРДЛОВА, будинок 349",,"ТВБВ № 10012/087 філія - Луганського обласного управління АТ ""Ощадбанк"", МФО 304655 рахунок № 26008301680625"
Опозиційний блок,Львівська обласна організація,Львівська область,37613126,"80002, Львівська обл., Сокальський район, місто Сокаль, вулиця ЧАЙКОВСЬКОГО, будинок 5, квартира 1","місто Львів, вул. Зелена, 149-А","Личаківське відділення ПАТ ""Укрсоцбанк"", МФО 300023, рахунок № 26003011699073"
Опозиційний блок,Миколаївська обласна організація,Миколаївська область,39751851,"54020, Миколаївська обл., місто Миколаїв, вулиця ДЕКАБРИСТІВ, будинок 41/23, корпус А",,"ПАТ ""ПУМБ"" м. Миколаїв, МФО 334851, рахунок № 2600313370"
Опозиційний блок,Одеська обласна організація,Одеська область,39705145,"65000, Одеська обл., місто Одеса, провулок КАХОВСЬКИЙ, будинок 2",,"ПАТ ""Банк Восток"", МФО 307123, рахунок № 26007010349074"
Опозиційний блок,Полтавська обласна організація,Полтавська область,39763762,"36022, Полтавська обл., місто Полтава, вулиця ЛЕНІНА, будинок 85, квартира 70",,"ПАТ КБ ""Приватбанк"", МФО 331401, рахунок № 2600705462513"
Опозиційний блок,Рівненська обласна організація,Рівненська область,39661171,"33000, Рівненська обл., місто Рівне, вулиця СОБОРНА, будинок 444А",,"Відділення № 100/17 АБ ""Укргазбанк"", МФО 320478, рахунок № 26009299493"
Опозиційний блок,Сумська обласна організація,Сумська область,39673391,"40020, Сумська обл., місто Суми, проспект КУРСЬКИЙ , будинок 6, корпус 1",,"АТ ""Ощадбанк"", МФО 300465, рахунок № 26001300953074"
Опозиційний блок,Харківська обласна організація,Харківська область,37462049,"61057, Харківська обл., місто Харків, вулиця СКРИПНИКА, будинок 4",,
Опозиційний блок,Херсонська обласна організація,Херсонська область,37542218,"73000, Херсонська обл., місто Херсон, вулиця ПЕРЕКОПСЬКА, будинок 20, офіс 404",,"ПАТ ""ПУМБ"", МФО 334851, рахунок № 2600915358"
Опозиційний блок,Хмельницька обласна організація,Хмельницька область,39698166,"Хмельницька обл., місто Хмельницький, вулиця ПІВНІЧНА, будинок 95/1",,"Хмельницька філія ПАТ КБ ""Приватбанк"" , МФО 315405, рахунок № 26008052302553"
Опозиційний блок,Черкаська обласна організація,Черкаська область,39880926,"18000, Черкаська обл., місто Черкаси, вулиця ПЕТРОВСЬКОГО, будинок 163, квартира 99",,"Черкаська філія ОУ АТ ""Ощадбанк"", МФО 35507, рахунок № 26002301144523"
