Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Офіс,"Хмельницька обл., Хмельницький р-н, смт Віньківці вул. Соборної України буд. 8",29.0,,01.05.2019,99738,Оренда,,,Фізична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Шепетівський р-н, смт Білогіря вул. Шевченка буд. 52",8.0,,22.01.2018,55581,Оренда,,,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Хмельницький р-н, м. Городок вул. Грушевського буд. 59",30.1,,31.12.2019,72844,Оренда,,,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Камянець Подільський р-н, м. Дунаївці вул. Красінських буд. 10",9.8,,29.04.2018,0,Оренда,,,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Камянець Подільський р-н, м. Камянець Подільський вул. Хмельницьке шосе буд. 11",10.0,,04.01.2021,0,Оренда,,,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Камянець Подільський р-н, смт Чемерівці вул. Центральна буд. 53",15.0,,02.04.2018,99405,Оренда,,,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., м. Хмельницький вул. Зарічанська буд. 11/4",15.0,,04.01.2021,25000,Оренда,,,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., м. Хмельницький вул. Камянецька буд. 12 оф. 105",80.5,,02.01.2021,0,Оренда,,,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Шепетівський р-н, м. Шепетівка вул. Титова буд. 1Д",10.0,,01.09.2020,0,Оренда,,,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Хмельницький р-н, м. Деражня вул. Миру буд. 49",43.7,,01.05.2019,365542,Оренда,,,Фізична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Шепетівський р-н, м. Ізяслав вул. Ковальська буд. 3",35.0,,01.08.2019,0,Оренда,,,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Хмельницький р-н, смт Летичів вул. Юрія Савіцького буд. 25",45.3,,04.04.2017,0,Оренда,,,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Шепетівський р-н, м. Нетішин просп. Незалежності буд. 11",5.0,,01.11.2017,0,Оренда,,,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Камянець Подільський р-н, смт Нова Ушиця вул. 40 років Перемоги буд. 14",36.5,,01.01.2021,0,Оренда,,,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Шепетівський р-н, м. Полонне вул. Лесі Українки буд. 212Б",76.0,,25.08.2015,0,Оренда,,,Фізична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Шепетівський р-н, м. Славута пров. Богдана Хмельницького буд. 1",41.7,,01.09.2018,1100000,Оренда,,,Фізична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Хмельницький р-н, смт Стара Синява вул. Грушевського буд. 56",32.0,,01.05.2019,0,Оренда,,,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Хмельницький р-н, м. Старокостянтинів вул. Миру буд. 15 оф. 7",43.3,,01.01.2020,0,Оренда,,,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Хмельницький р-н, смт Теофіполь вул. Небесної Сотні буд. 66 оф. 37",5.0,,01.12.2017,0,Оренда,,,Фізична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
Офіс,"Хмельницька обл., Хмельницький р-н, смт Ярмолинці вул. Петропавлівська буд. 48",5.0,,01.11.2018,55271,Оренда,,,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,2021-12-31,4,2021
